市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-20 09:25:03,13.1700,283,17963880.0000,13640,B,13.1600,13.1400,13.1000,13.0900,13.0800,13.1700,13.1800,13.1900,13.2000,13.2100,9,5,91,14,116,1904,2221,1437,459,248
SZ,000001,2019-06-20 09:30:03,13.1300,113,4115424.0000,3127,S,13.1200,13.1100,13.1000,13.0900,13.0800,13.1400,13.1600,13.1700,13.1800,13.1900,8,84,108,166,344,14,6085,3097,2332,1259
SZ,000001,2019-06-20 09:30:06,13.1600,39,1477216.0000,1123,B,13.1200,13.1100,13.1000,13.0900,13.0800,13.1600,13.1700,13.1800,13.1900,13.2000,277,105,100,280,706,7260,2406,2258,1245,815
SZ,000001,2019-06-20 09:30:09,13.1500,8,159112.0000,121,S,13.1200,13.1100,13.1000,13.0900,13.0800,13.1500,13.1600,13.1700,13.1800,13.1900,282,105,100,280,706,363,7344,529,2258,1220
SZ,000001,2019-06-20 09:30:12,13.1300,3,68276.0000,52,S,13.1200,13.1100,13.1000,13.0900,13.0800,13.1300,13.1500,13.1600,13.1700,13.1800,478,105,100,280,708,27,397,7375,534,2274
SZ,000001,2019-06-20 09:30:15,13.1500,7,135264.0000,103,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1500,13.1600,13.1700,13.1800,13.1900,36,551,105,100,300,423,7385,544,2274,1353
SZ,000001,2019-06-20 09:30:18,13.1300,5,219584.0000,167,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1500,13.1600,13.1700,13.1800,13.1900,306,291,105,100,300,218,7177,544,2274,1357
SZ,000001,2019-06-20 09:30:21,13.1500,12,299818.0000,228,B,13.1500,13.1300,13.1200,13.1100,13.1000,13.1600,13.1700,13.1800,13.1900,13.2000,226,406,200,105,100,7169,544,2274,1358,943
SZ,000001,2019-06-20 09:30:24,13.1500,6,523370.0000,398,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1500,13.1600,13.1700,13.1800,13.1900,324,200,93,100,300,1056,7128,745,2050,1358
SZ,000001,2019-06-20 09:30:27,13.1600,17,773076.0000,588,B,13.1400,13.1300,13.1200,13.1100,13.1000,13.1600,13.1700,13.1800,13.1900,13.2000,65,249,200,93,101,7104,744,2050,1358,944
SZ,000001,2019-06-20 09:30:30,13.1400,10,145904.0000,111,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,234,289,191,93,101,14,7109,744,2050,1358
SZ,000001,2019-06-20 09:30:33,13.1400,6,85448.0000,65,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,195,110,191,93,101,134,7133,744,2581,1358
SZ,000001,2019-06-20 09:30:36,13.1400,13,261670.0000,199,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1600,13.1700,13.1800,13.1900,13.2000,699,235,190,93,101,6996,744,2571,1358,944
SZ,000001,2019-06-20 09:30:39,13.1400,6,853870.0000,649,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,892,74,190,93,101,14,6468,558,2606,1358
SZ,000001,2019-06-20 09:30:42,13.1500,3,18412.0000,14,B,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,25,987,234,190,93,6464,558,2606,1358,953
SZ,000001,2019-06-20 09:30:45,13.1500,17,477216.0000,363,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,567,144,190,93,101,19,6309,558,2606,1338
SZ,000001,2019-06-20 09:30:48,13.1500,5,51284.0000,39,B,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,41,602,181,150,93,6309,680,2606,1338,933
SZ,000001,2019-06-20 09:30:51,13.1400,15,847572.0000,645,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1500,13.1600,13.1700,13.1800,144,150,93,137,300,2855,152,6292,691,2571
SZ,000001,2019-06-20 09:30:54,13.1400,8,1547876.0000,1178,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1500,13.1600,13.1700,13.1800,218,161,93,137,300,1712,201,6277,691,2571
SZ,000001,2019-06-20 09:30:57,13.1300,22,898596.0000,684,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1500,13.1600,13.1700,13.1800,435,161,96,137,300,1258,132,6277,691,2571
SZ,000001,2019-06-20 09:31:00,13.1500,29,1968572.0000,1498,B,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,261,512,161,96,137,975,6280,691,2571,1328
SZ,000001,2019-06-20 09:31:03,13.1500,13,577060.0000,439,B,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,214,343,164,96,137,942,6278,691,2574,1328
SZ,000001,2019-06-20 09:31:06,13.1400,22,1538444.0000,1170,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,108,348,158,96,137,835,6268,752,2569,1328
SZ,000001,2019-06-20 09:31:09,13.1500,13,1159824.0000,882,B,13.1400,13.1300,13.1200,13.1100,13.1000,13.1600,13.1700,13.1800,13.1900,13.2000,456,29,158,96,137,6202,752,2569,1328,948
SZ,000001,2019-06-20 09:31:12,13.1600,6,275032.0000,209,B,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,100,601,44,158,96,5997,752,2599,1328,947
SZ,000001,2019-06-20 09:31:15,13.1400,16,971332.0000,739,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1600,13.1700,13.1800,13.1900,44,158,96,139,300,4143,5976,752,2599,1328
SZ,000001,2019-06-20 09:31:18,13.1400,11,720072.0000,548,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1600,13.1700,13.1800,13.1900,208,163,98,139,300,3789,5961,632,2599,1326
SZ,000001,2019-06-20 09:31:21,13.1400,5,734524.0000,559,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1600,13.1700,13.1800,13.1900,249,205,98,139,300,3316,5966,634,2599,1326
SZ,000001,2019-06-20 09:31:24,13.1400,16,1140404.0000,868,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1600,13.1700,13.1800,13.1900,148,205,98,139,280,2627,5970,632,2439,1326
SZ,000001,2019-06-20 09:31:27,13.1300,15,960292.0000,731,S,13.1200,13.1100,13.1000,13.0900,13.0800,13.1300,13.1400,13.1500,13.1600,13.1700,205,98,139,280,795,2771,2137,10,6011,632
SZ,000001,2019-06-20 09:31:30,13.1300,8,2759928.0000,2102,B,13.1200,13.1100,13.1000,13.0900,13.0800,13.1300,13.1400,13.1500,13.1600,13.1700,163,118,141,280,825,798,2168,68,6039,632
SZ,000001,2019-06-20 09:31:33,13.1300,18,1079276.0000,822,B,13.1200,13.1100,13.1000,13.0900,13.0800,13.1300,13.1400,13.1500,13.1600,13.1700,153,118,141,280,825,4,2173,69,6089,427
SZ,000001,2019-06-20 09:31:36,13.1300,5,212860.0000,162,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1500,13.1600,13.1700,13.1800,296,153,118,141,280,2024,69,6091,427,2489
SZ,000001,2019-06-20 09:31:39,13.1300,10,391548.0000,298,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1500,13.1600,13.1700,13.1800,103,153,138,141,285,1452,69,6094,429,2499
SZ,000001,2019-06-20 09:31:42,13.1300,9,170780.0000,130,S,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1500,13.1600,13.1700,13.1800,162,153,138,141,285,1366,77,6092,429,2499
SZ,000001,2019-06-20 09:31:45,13.1600,29,2292072.0000,1744,B,13.1300,13.1200,13.1100,13.1000,13.0900,13.1400,13.1600,13.1700,13.1800,13.1900,304,154,138,149,285,4,5881,429,2499,2153
SZ,000001,2019-06-20 09:31:48,13.1600,8,213160.0000,162,B,13.1400,13.1300,13.1200,13.1100,13.1000,13.1600,13.1700,13.1800,13.1900,13.2000,241,486,154,138,149,5744,429,2499,2115,1280
SZ,000001,2019-06-20 09:31:51,13.1400,5,77628.0000,59,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1600,13.1700,13.1800,13.1900,13.2000,107,322,154,138,149,5921,429,2499,2115,1280
SZ,000001,2019-06-20 09:31:54,13.1400,2,18396.0000,14,S,13.1400,13.1300,13.1200,13.1100,13.1000,13.1500,13.1600,13.1700,13.1800,13.1900,113,594,154,138,149,31,5931,429,2499,2115
SZ,000001,2019-06-20 09:31:57,13.1500,12,324808.0000,247,B,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,6,246,586,154,138,5944,439,2499,2105,1340
SZ,000001,2019-06-20 09:32:00,13.1600,5,219664.0000,167,B,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,1223,246,636,154,138,5902,440,2500,2105,1361
SZ,000001,2019-06-20 09:32:03,13.1500,8,85524.0000,65,S,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,1588,246,486,153,138,5751,440,2507,2101,1361
SZ,000001,2019-06-20 09:32:06,13.1600,22,4715120.0000,3583,B,13.1500,13.1400,13.1300,13.1200,13.1100,13.1600,13.1700,13.1800,13.1900,13.2000,1481,246,486,153,138,2276,440,2507,2101,1361
SZ,000001,2019-06-20 09:32:09,13.1600,112,3643124.0000,2768,B,13.1700,13.1600,13.1500,13.1400,13.1300,13.1800,13.1900,13.2000,13.2100,13.2200,50,1527,1490,111,469,2507,2101,1361,689,306
SZ,000001,2019-06-20 09:32:12,13.1600,42,2723792.0000,2068,S,13.1600,13.1500,13.1400,13.1300,13.1200,13.1800,13.1900,13.2000,13.2100,13.2200,464,1008,76,469,120,1519,2101,1361,689,306
SZ,000001,2019-06-20 09:32:15,13.1900,95,3947528.0000,2994,B,13.1600,13.1500,13.1400,13.1300,13.1200,13.1900,13.2000,13.2100,13.2200,13.2300,1384,1008,619,469,120,639,1361,689,306,311
SZ,000001,2019-06-20 09:32:18,13.2000,38,1353632.0000,1026,B,13.1900,13.1800,13.1700,13.1600,13.1500,13.2000,13.2100,13.2200,13.2300,13.2400,9,6,48,1622,813,999,689,306,331,487
SZ,000001,2019-06-20 09:32:21,13.2000,54,1224880.0000,928,B,13.1900,13.1800,13.1700,13.1600,13.1500,13.2000,13.2100,13.2200,13.2300,13.2400,415,14,42,981,813,153,689,306,331,487
SZ,000001,2019-06-20 09:32:24,13.2100,35,532188.0000,403,B,13.2000,13.1900,13.1800,13.1700,13.1600,13.2100,13.2200,13.2300,13.2400,13.2500,566,985,24,112,981,458,306,331,487,821
SZ,000001,2019-06-20 09:32:27,13.2100,15,417380.0000,316,B,13.2000,13.1900,13.1800,13.1700,13.1600,13.2100,13.2200,13.2300,13.2400,13.2500,635,92,24,104,579,215,306,361,487,821
SZ,000001,2019-06-20 09:32:30,13.2100,12,182304.0000,138,B,13.2000,13.1900,13.1800,13.1700,13.1600,13.2100,13.2200,13.2300,13.2400,13.2500,1480,92,20,70,579,90,306,361,487,821
SZ,000001,2019-06-20 09:32:33,13.2100,33,581512.0000,440,B,13.2100,13.2000,13.1900,13.1800,13.1700,13.2200,13.2300,13.2400,13.2500,13.2600,244,1672,114,20,85,2,361,437,826,211
SZ,000001,2019-06-20 09:32:36,13.2300,37,552912.0000,418,B,13.2100,13.2000,13.1900,13.1800,13.1700,13.2300,13.2400,13.2500,13.2600,13.2700,523,831,36,20,75,9,437,811,211,260
SZ,000001,2019-06-20 09:32:39,13.2200,14,320336.0000,242,S,13.2200,13.2100,13.2000,13.1900,13.1800,13.2400,13.2500,13.2600,13.2700,13.2800,9,1729,786,36,20,236,805,211,260,1316
SZ,000001,2019-06-20 09:32:42,13.2300,16,484368.0000,366,B,13.2200,13.2100,13.2000,13.1900,13.1800,13.2300,13.2400,13.2500,13.2600,13.2700,102,831,637,36,20,103,83,805,211,260
