市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-21 09:25:03,13.7600,316,15084414.0000,10963,S,13.7600,13.7500,13.7400,13.7300,13.7200,13.7700,13.7800,13.7900,13.8000,13.8100,3604,176,40,805,193,472,78,1929,377,35
SZ,000001,2019-06-21 09:30:03,13.7400,291,11352756.0000,8252,S,13.7200,13.7100,13.7000,13.6900,13.6800,13.7400,13.7600,13.7700,13.7800,13.7900,308,388,868,144,891,49,151,156,761,1717
SZ,000001,2019-06-21 09:30:06,13.7200,80,1567312.0000,1140,S,13.7200,13.7100,13.7000,13.6900,13.6800,13.7500,13.7600,13.7700,13.7800,13.7900,693,416,1073,157,959,400,133,85,965,1695
SZ,000001,2019-06-21 09:30:09,13.7600,58,1184370.0000,861,B,13.7400,13.7300,13.7200,13.7100,13.7000,13.7600,13.7800,13.7900,13.8000,13.8100,33,92,621,426,1043,62,985,1697,531,48
SZ,000001,2019-06-21 09:30:12,13.7500,19,320484.0000,233,S,13.7300,13.7200,13.7100,13.7000,13.6900,13.7500,13.7600,13.7800,13.7900,13.8000,190,486,426,1063,157,1,36,988,1697,531
SZ,000001,2019-06-21 09:30:15,13.7700,23,169420.0000,123,B,13.7700,13.7300,13.7200,13.7100,13.7000,13.7800,13.7900,13.8000,13.8100,13.8200,241,171,694,426,1088,988,1697,531,53,158
SZ,000001,2019-06-21 09:30:18,13.7500,17,349754.0000,254,S,13.7500,13.7400,13.7300,13.7200,13.7100,13.7700,13.7800,13.7900,13.8000,13.8100,5,11,108,687,426,1,1063,1694,551,53
SZ,000001,2019-06-21 09:30:21,13.7500,9,35786.0000,26,S,13.7500,13.7400,13.7300,13.7200,13.7100,13.7800,13.7900,13.8000,13.8100,13.8200,80,11,108,687,426,1060,1674,551,53,158
SZ,000001,2019-06-21 09:30:24,13.7600,10,232316.0000,169,B,13.7300,13.7200,13.7100,13.7000,13.6900,13.7500,13.7600,13.7700,13.7800,13.7900,102,695,442,1083,157,3,6,6,1083,1674
SZ,000001,2019-06-21 09:30:27,13.7500,8,24726.0000,18,B,13.7400,13.7300,13.7200,13.7100,13.7000,13.7500,13.7600,13.7700,13.7800,13.7900,1,93,695,452,1183,753,6,79,1062,1670
SZ,000001,2019-06-21 09:30:30,13.7300,5,49474.0000,36,S,13.7300,13.7200,13.7100,13.7000,13.6900,13.7400,13.7500,13.7600,13.7700,13.7800,95,695,462,1183,157,2,733,26,183,1062
SZ,000001,2019-06-21 09:30:33,13.7300,12,130468.0000,95,S,13.7300,13.7200,13.7100,13.7000,13.6900,13.7400,13.7500,13.7600,13.7700,13.7800,30,695,482,1179,157,15,736,85,245,1060
SZ,000001,2019-06-21 09:30:36,13.7400,111,2891648.0000,2109,B,13.7100,13.7000,13.6900,13.6800,13.6700,13.7400,13.7500,13.7600,13.7700,13.7800,9,377,157,959,179,148,738,7,245,1065
SZ,000001,2019-06-21 09:30:39,13.7300,16,194868.0000,142,S,13.7100,13.7000,13.6900,13.6800,13.6700,13.7300,13.7400,13.7500,13.7600,13.7700,39,476,157,960,179,871,182,803,11,507
SZ,000001,2019-06-21 09:30:42,13.7300,11,356884.0000,260,B,13.7100,13.7000,13.6900,13.6800,13.6700,13.7300,13.7400,13.7500,13.7600,13.7700,164,506,157,960,179,709,111,804,11,183
SZ,000001,2019-06-21 09:30:45,13.7100,11,379988.0000,277,S,13.7100,13.7000,13.6900,13.6800,13.6700,13.7200,13.7300,13.7400,13.7500,13.7600,157,506,157,960,179,6,682,133,101,25
SZ,000001,2019-06-21 09:30:48,13.7200,22,274328.0000,200,B,13.7200,13.7100,13.7000,13.6900,13.6800,13.7300,13.7400,13.7500,13.7600,13.7700,133,31,490,157,960,621,133,101,25,163
SZ,000001,2019-06-21 09:30:51,13.7300,10,326764.0000,238,B,13.7200,13.7100,13.7000,13.6900,13.6800,13.7300,13.7400,13.7500,13.7600,13.7700,164,52,490,157,960,392,159,101,25,163
