市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-28 09:25:03,13.7300,96,3164765.0000,2305,B,13.7200,13.7100,13.7000,13.6900,13.6800,13.7300,13.7400,13.7500,13.7600,13.7700,75,2498,43,30,65,673,122,553,35,85
SZ,000001,2019-06-28 09:30:03,13.7300,97,4938577.0000,3600,B,13.7300,13.7200,13.7100,13.7000,13.6900,13.7400,13.7500,13.7600,13.7700,13.7800,345,57,1007,102,90,95,554,64,140,296
SZ,000001,2019-06-28 09:30:06,13.7300,21,483298.0000,352,S,13.7300,13.7200,13.7100,13.7000,13.6900,13.7400,13.7500,13.7600,13.7700,13.7800,386,651,943,154,90,99,1486,66,140,309
SZ,000001,2019-06-28 09:30:09,13.7300,7,21975.0000,16,S,13.7300,13.7200,13.7100,13.7000,13.6900,13.7400,13.7500,13.7600,13.7700,13.7800,406,667,943,154,90,92,1489,66,140,309
SZ,000001,2019-06-28 09:30:12,13.7300,3,9611.0000,7,S,13.7300,13.7200,13.7100,13.7000,13.6900,13.7400,13.7500,13.7600,13.7700,13.7800,1018,670,943,154,90,107,1489,66,140,309
SZ,000001,2019-06-28 09:30:15,13.7200,27,1561047.0000,1137,S,13.7200,13.7100,13.7000,13.6900,13.6800,13.7400,13.7500,13.7600,13.7700,13.7800,616,943,154,90,41,117,1489,66,150,309
SZ,000001,2019-06-28 09:30:18,13.7300,6,61749.0000,45,B,13.7200,13.7100,13.7000,13.6900,13.6800,13.7300,13.7400,13.7500,13.7600,13.7700,580,943,154,90,41,6,172,1489,66,150
SZ,000001,2019-06-28 09:30:21,13.7200,12,810852.0000,591,S,13.7100,13.7000,13.6900,13.6800,13.6700,13.7200,13.7300,13.7400,13.7500,13.7600,943,154,90,41,81,411,48,202,1489,66
SZ,000001,2019-06-28 09:30:24,13.7100,3,176859.0000,129,S,13.7100,13.7000,13.6900,13.6800,13.6700,13.7200,13.7300,13.7400,13.7500,13.7600,817,154,90,41,81,442,64,202,1489,66
SZ,000001,2019-06-28 09:30:27,13.7100,28,1298645.0000,947,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,37,90,41,81,104,801,436,64,202,1489
SZ,000001,2019-06-28 09:30:30,13.7100,12,242623.0000,177,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,88,41,81,104,530,1081,434,62,200,1489
SZ,000001,2019-06-28 09:30:33,13.6900,54,1044526.0000,762,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,16,41,81,104,530,499,427,58,200,1489
SZ,000001,2019-06-28 09:30:36,13.7100,18,115033.0000,84,B,13.6800,13.6700,13.6600,13.6500,13.6400,13.7100,13.7200,13.7300,13.7400,13.7500,16,81,104,530,346,496,427,58,200,1487
SZ,000001,2019-06-28 09:30:39,13.6900,8,49257.0000,36,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,2,81,104,530,346,17,101,493,427,58
SZ,000001,2019-06-28 09:30:42,13.6700,11,75215.0000,55,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,1,42,104,530,346,9,596,541,427,58
SZ,000001,2019-06-28 09:30:45,13.6900,26,312132.0000,228,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,300,1,42,104,530,592,535,379,26,245
SZ,000001,2019-06-28 09:30:48,13.6900,9,38335.0000,28,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,289,1,52,106,530,590,429,379,161,245
SZ,000001,2019-06-28 09:30:51,13.6900,22,438270.0000,320,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,159,1,52,106,530,400,431,379,161,245
SZ,000001,2019-06-28 09:30:54,13.6900,22,217671.0000,159,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,1,62,206,530,349,59,450,431,379,161
SZ,000001,2019-06-28 09:30:57,13.6900,45,734230.0000,536,B,13.6700,13.6600,13.6500,13.6400,13.6300,13.6900,13.7100,13.7200,13.7300,13.7400,62,206,530,349,277,25,431,379,161,245
SZ,000001,2019-06-28 09:31:00,13.6800,5,35568.0000,26,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7100,13.7200,13.7300,13.7400,6,204,206,533,349,98,399,379,161,245
SZ,000001,2019-06-28 09:31:03,13.6900,30,162899.0000,119,B,13.6900,13.6700,13.6600,13.6500,13.6400,13.7100,13.7200,13.7300,13.7400,13.7500,411,241,206,533,349,399,379,161,245,1346
SZ,000001,2019-06-28 09:31:06,13.6900,13,101310.0000,74,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,385,153,265,116,553,399,379,161,245,1332
SZ,000001,2019-06-28 09:31:09,13.6900,6,20536.0000,15,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,388,153,265,116,553,401,379,161,185,1332
SZ,000001,2019-06-28 09:31:12,13.6900,15,121887.0000,89,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,322,153,316,116,553,391,379,161,182,1332
SZ,000001,2019-06-28 09:31:15,13.7100,7,31505.0000,23,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,308,153,316,136,553,386,379,161,192,1332
SZ,000001,2019-06-28 09:31:18,13.6900,11,119119.0000,87,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,233,153,316,136,554,3,382,379,161,192
SZ,000001,2019-06-28 09:31:21,13.7100,10,27401.0000,20,B,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,46,312,156,316,136,376,379,161,192,1332
SZ,000001,2019-06-28 09:31:24,13.6900,32,130106.0000,95,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,267,156,316,136,604,375,379,161,197,1332
SZ,000001,2019-06-28 09:31:27,13.6900,22,249159.0000,182,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,85,156,316,136,604,1,375,379,161,197
SZ,000001,2019-06-28 09:31:30,13.6900,14,136938.0000,100,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,12,156,316,136,604,393,389,161,197,1332
SZ,000001,2019-06-28 09:31:33,13.6900,3,12322.0000,9,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,4,156,316,136,616,3,423,389,161,197
SZ,000001,2019-06-28 09:31:36,13.7000,7,16432.0000,12,B,13.7000,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,4,156,316,136,616,418,389,161,197,1362
SZ,000001,2019-06-28 09:31:39,13.6900,5,8218.0000,6,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,28,261,316,136,616,379,389,161,197,1362
SZ,000001,2019-06-28 09:31:42,13.7000,6,61646.0000,45,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,8,261,316,136,626,34,363,389,161,197
SZ,000001,2019-06-28 09:31:45,13.6900,3,27380.0000,20,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,291,326,136,623,349,77,37,363,389,161
SZ,000001,2019-06-28 09:31:48,13.6900,5,164196.0000,120,B,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,207,326,200,630,349,60,97,363,389,161
SZ,000001,2019-06-28 09:31:51,13.6900,13,124566.0000,91,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,68,193,291,200,635,137,362,389,161,197
SZ,000001,2019-06-28 09:31:54,13.6800,11,141022.0000,103,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,179,291,200,635,349,36,114,362,389,161
SZ,000001,2019-06-28 09:31:57,13.6800,3,28730.0000,21,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,161,291,235,635,349,53,138,362,389,161
SZ,000001,2019-06-28 09:32:00,13.6900,8,120474.0000,88,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1244,171,341,235,635,145,362,389,161,244
SZ,000001,2019-06-28 09:32:03,13.6900,8,191662.0000,140,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1105,181,341,245,635,150,361,389,161,234
SZ,000001,2019-06-28 09:32:06,13.7000,3,34226.0000,25,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1082,281,331,245,635,150,361,389,161,234
SZ,000001,2019-06-28 09:32:09,13.6900,11,69836.0000,51,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1050,381,331,245,635,134,361,389,161,234
SZ,000001,2019-06-28 09:32:12,13.6900,6,131484.0000,96,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1024,386,331,245,655,74,361,389,187,234
SZ,000001,2019-06-28 09:32:15,13.6900,15,242384.0000,177,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,965,386,331,245,655,61,361,389,187,234
SZ,000001,2019-06-28 09:32:18,13.6900,9,58894.0000,43,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,949,386,331,245,655,35,452,389,187,234
SZ,000001,2019-06-28 09:32:21,13.6900,10,67086.0000,49,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,906,388,431,240,655,29,452,389,487,234
SZ,000001,2019-06-28 09:32:24,13.6900,10,58900.0000,43,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,1015,488,431,240,655,452,389,487,234,1426
SZ,000001,2019-06-28 09:32:27,13.7000,4,124660.0000,91,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1014,488,431,240,655,64,452,389,487,229
SZ,000001,2019-06-28 09:32:30,13.6900,10,680454.0000,497,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,585,488,431,240,655,23,452,389,487,229
SZ,000001,2019-06-28 09:32:33,13.7000,12,575644.0000,420,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,593,488,431,242,655,31,208,389,487,194
SZ,000001,2019-06-28 09:32:36,13.7000,11,181616.0000,133,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,547,489,431,242,655,1,208,379,487,194
SZ,000001,2019-06-28 09:32:39,13.6900,2,8214.0000,6,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,5,544,489,431,242,208,379,487,194,1426
SZ,000001,2019-06-28 09:32:42,13.6900,15,570880.0000,417,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7100,13.7200,13.7300,13.7400,13.7500,141,489,431,242,655,208,379,487,194,1649
SZ,000001,2019-06-28 09:32:45,13.7000,5,35612.0000,26,B,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,7,153,489,531,242,209,386,487,194,1749
SZ,000001,2019-06-28 09:32:48,13.7000,9,91816.0000,67,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,158,489,531,207,655,8,182,386,487,194
SZ,000001,2019-06-28 09:32:51,13.7100,24,100008.0000,73,B,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,1,155,489,531,207,141,386,487,194,1741
SZ,000001,2019-06-28 09:32:54,13.7000,6,13696.0000,10,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,9,187,494,531,197,141,386,487,194,1741
SZ,000001,2019-06-28 09:32:57,13.7000,7,41092.0000,30,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,177,494,531,192,655,281,157,386,487,194
SZ,000001,2019-06-28 09:33:00,13.6900,19,315468.0000,230,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,494,531,192,655,364,92,339,154,386,487
SZ,000001,2019-06-28 09:33:03,13.6900,1,4106.0000,3,B,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,494,531,192,655,364,102,404,154,387,487
SZ,000001,2019-06-28 09:33:06,13.6800,11,282108.0000,206,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,494,531,192,655,364,8,406,154,387,487
SZ,000001,2019-06-28 09:33:09,13.6900,13,231204.0000,169,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,25,358,531,192,655,333,154,387,487,211
SZ,000001,2019-06-28 09:33:12,13.6900,7,109468.0000,80,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,13,306,531,192,660,343,194,388,487,214
SZ,000001,2019-06-28 09:33:15,13.6800,8,45166.0000,33,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,440,531,192,660,364,16,340,218,388,497
SZ,000001,2019-06-28 09:33:18,13.7000,5,30124.0000,22,B,13.6800,13.6700,13.6600,13.6500,13.6400,13.7000,13.7100,13.7200,13.7300,13.7400,442,531,212,665,364,335,218,388,497,214
SZ,000001,2019-06-28 09:33:21,13.6900,5,28748.0000,21,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,23,485,431,212,665,345,127,388,497,214
SZ,000001,2019-06-28 09:33:24,13.6800,7,68440.0000,50,S,13.6800,13.6700,13.6600,13.6500,13.6400,13.6900,13.7000,13.7100,13.7200,13.7300,474,431,212,665,364,24,345,127,388,497
SZ,000001,2019-06-28 09:33:27,13.6900,10,95840.0000,70,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,29,484,431,212,665,383,127,388,497,394
SZ,000001,2019-06-28 09:33:30,13.7000,11,168396.0000,123,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1244,484,431,212,665,389,127,388,497,394
SZ,000001,2019-06-28 09:33:33,13.6900,3,87616.0000,64,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1190,504,431,212,665,399,127,388,497,454
SZ,000001,2019-06-28 09:33:36,13.6900,3,4108.0000,3,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1187,514,431,212,665,561,127,388,497,454
SZ,000001,2019-06-28 09:33:39,13.6900,8,104044.0000,76,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1116,546,461,212,665,571,127,388,497,439
SZ,000001,2019-06-28 09:33:42,13.6900,10,164336.0000,120,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1053,544,466,212,665,529,147,388,497,442
SZ,000001,2019-06-28 09:33:45,13.6900,7,43808.0000,32,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1030,595,466,212,665,520,153,388,497,442
SZ,000001,2019-06-28 09:33:48,13.6900,5,78040.0000,57,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,990,595,466,212,665,520,156,388,497,442
SZ,000001,2019-06-28 09:33:51,13.6900,5,167050.0000,122,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,906,595,466,212,655,504,156,388,497,442
SZ,000001,2019-06-28 09:33:54,13.7000,26,515112.0000,376,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1661,595,466,212,652,138,126,388,497,442
SZ,000001,2019-06-28 09:33:57,13.6900,6,75332.0000,55,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1645,595,466,212,662,111,126,388,497,442
SZ,000001,2019-06-28 09:34:00,13.7000,5,90414.0000,66,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1652,595,416,212,662,745,326,388,497,500
SZ,000001,2019-06-28 09:34:03,13.6900,20,398508.0000,291,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1523,598,416,212,662,22,326,388,497,500
SZ,000001,2019-06-28 09:34:06,13.7000,8,60244.0000,44,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,1488,606,416,212,662,84,326,388,497,510
SZ,000001,2019-06-28 09:34:09,13.7000,12,146544.0000,107,B,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,312,1469,606,419,212,326,388,505,510,1721
SZ,000001,2019-06-28 09:34:12,13.7000,10,72620.0000,53,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,299,679,608,443,212,316,388,505,500,1721
SZ,000001,2019-06-28 09:34:15,13.7000,10,98698.0000,72,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,284,682,608,443,212,863,458,505,500,1721
SZ,000001,2019-06-28 09:34:18,13.7000,14,513890.0000,375,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,64,676,625,443,212,726,458,505,500,1721
SZ,000001,2019-06-28 09:34:21,13.7000,3,27400.0000,20,S,13.7000,13.6900,13.6800,13.6700,13.6600,13.7100,13.7200,13.7300,13.7400,13.7500,126,676,623,443,212,726,458,505,500,1721
SZ,000001,2019-06-28 09:34:24,13.7000,12,208286.0000,152,S,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,676,623,443,212,713,60,706,458,505,500
SZ,000001,2019-06-28 09:34:27,13.7000,3,64384.0000,47,B,13.6900,13.6800,13.6700,13.6600,13.6500,13.7000,13.7100,13.7200,13.7300,13.7400,670,623,443,222,713,28,706,458,505,500
