市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-04 09:25:03,11.8900,249,5596623.0000,4707,S,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,27,191,410,161,450,3717,1624,875,87,211
SZ,000001,2019-06-04 09:30:03,11.8800,156,3675958.0000,3093,S,11.8700,11.8600,11.8500,11.8400,11.8300,11.8800,11.8900,11.9000,11.9100,11.9200,337,319,830,269,509,31,886,4731,1569,696
SZ,000001,2019-06-04 09:30:06,11.8700,37,521426.0000,439,S,11.8700,11.8600,11.8500,11.8400,11.8300,11.8800,11.8900,11.9000,11.9100,11.9200,792,283,861,271,609,96,1226,4820,1599,696
SZ,000001,2019-06-04 09:30:09,11.8800,40,1229974.0000,1036,B,11.8700,11.8600,11.8500,11.8400,11.8300,11.8800,11.8900,11.9000,11.9100,11.9200,76,5743,868,271,614,15,2367,4729,1599,696
SZ,000001,2019-06-04 09:30:12,11.8700,15,291046.0000,245,S,11.8700,11.8600,11.8500,11.8400,11.8300,11.8900,11.9000,11.9100,11.9200,11.9300,274,5751,868,271,614,2426,4729,1599,696,345
SZ,000001,2019-06-04 09:30:15,11.8800,6,96191.0000,81,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,14,491,5751,868,345,2658,4459,1598,696,345
SZ,000001,2019-06-04 09:30:18,11.8800,6,181868.0000,153,S,11.8700,11.8600,11.8500,11.8400,11.8300,11.8800,11.8900,11.9000,11.9100,11.9200,473,5751,867,345,614,51,2868,3854,1598,696
SZ,000001,2019-06-04 09:30:21,11.8700,16,327728.0000,276,S,11.8700,11.8600,11.8500,11.8400,11.8300,11.8800,11.8900,11.9000,11.9100,11.9200,467,5771,872,345,614,28,2706,3854,1598,696
SZ,000001,2019-06-04 09:30:24,11.8800,14,741448.0000,624,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,360,567,5771,872,345,2560,3854,1598,696,345
SZ,000001,2019-06-04 09:30:27,11.8800,14,563262.0000,474,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,416,625,5776,872,345,2410,3854,1598,696,345
SZ,000001,2019-06-04 09:30:30,11.8900,18,475572.0000,400,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,559,691,5793,867,271,2033,3854,1504,696,345
SZ,000001,2019-06-04 09:30:33,11.8800,27,874964.0000,736,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,691,653,5793,872,301,1437,3854,1404,696,345
SZ,000001,2019-06-04 09:30:36,11.8900,8,261550.0000,220,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,661,671,5793,946,301,1247,3854,1404,696,347
SZ,000001,2019-06-04 09:30:39,11.8900,6,192492.0000,162,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,625,671,5793,976,301,1265,3853,1404,696,347
SZ,000001,2019-06-04 09:30:42,11.8800,3,59429.0000,50,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,691,712,5793,976,301,1223,3853,1396,696,347
SZ,000001,2019-06-04 09:30:45,11.8900,3,48745.0000,41,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,737,717,5793,934,301,1224,3853,1396,696,347
SZ,000001,2019-06-04 09:30:48,11.8800,12,248360.0000,209,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,613,729,5793,940,301,1240,3863,1396,696,347
SZ,000001,2019-06-04 09:30:51,11.8800,5,57034.0000,48,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,850,741,5794,940,304,1237,3563,1396,696,347
SZ,000001,2019-06-04 09:30:54,11.8800,6,87956.0000,74,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,920,760,5794,940,304,1257,3563,1396,696,347
SZ,000001,2019-06-04 09:30:57,11.8800,6,120019.0000,101,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,841,860,5794,782,304,1263,3571,1396,696,347
SZ,000001,2019-06-04 09:31:00,11.8900,6,257919.0000,217,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,758,860,5802,787,304,1142,3571,1386,696,347
SZ,000001,2019-06-04 09:31:03,11.8800,10,171090.0000,144,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,678,1081,5795,787,304,1415,3571,1373,696,347
SZ,000001,2019-06-04 09:31:06,11.8800,7,131960.0000,111,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,831,1171,5795,747,304,1323,3521,1373,696,347
SZ,000001,2019-06-04 09:31:09,11.8800,11,297218.0000,250,S,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,883,1136,5795,673,304,1072,3526,1373,696,347
SZ,000001,2019-06-04 09:31:12,11.8900,22,306612.0000,258,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,978,1141,5805,674,304,964,3526,1373,696,347
SZ,000001,2019-06-04 09:31:15,11.8900,32,848900.0000,714,B,11.8800,11.8700,11.8600,11.8500,11.8400,11.8900,11.9000,11.9100,11.9200,11.9300,997,1136,5815,674,304,296,3526,1373,696,347
SZ,000001,2019-06-04 09:31:18,11.8900,24,624276.0000,525,B,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,35,968,1036,5815,674,3437,1373,696,347,1542
SZ,000001,2019-06-04 09:31:21,11.8900,11,243852.0000,205,S,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,44,951,1041,5815,674,3530,1373,696,347,1542
SZ,000001,2019-06-04 09:31:24,11.9000,6,253450.0000,213,B,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,97,952,1119,5815,674,3337,1373,696,347,1542
SZ,000001,2019-06-04 09:31:27,11.9000,2,30934.0000,26,B,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,713,952,1119,5815,674,3316,1373,696,347,1542
SZ,000001,2019-06-04 09:31:30,11.9000,10,1817124.0000,1527,B,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,808,1125,1278,5855,674,1848,1373,696,347,1542
SZ,000001,2019-06-04 09:31:33,11.9000,22,949616.0000,798,B,11.8900,11.8800,11.8700,11.8600,11.8500,11.9000,11.9100,11.9200,11.9300,11.9400,1206,992,1262,5855,674,1054,1373,726,347,1542
SZ,000001,2019-06-04 09:31:36,11.9000,17,1370884.0000,1152,B,11.9000,11.8900,11.8800,11.8700,11.8600,11.9100,11.9200,11.9300,11.9400,11.9500,899,1283,997,1280,5837,1569,739,347,1542,2342
SZ,000001,2019-06-04 09:31:39,11.9100,36,2393910.0000,2010,B,11.9100,11.9000,11.8900,11.8800,11.8700,11.9200,11.9300,11.9400,11.9500,11.9600,82,1187,1223,998,1280,602,347,1542,2342,146
