市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-12 09:25:03,12.6300,175,6105645.0000,4834,S,12.6300,12.6100,12.6000,12.5900,12.5800,12.6400,12.6500,12.6600,12.6700,12.6800,21,28,143,58,1335,227,1322,856,1153,566
SZ,000001,2019-06-12 09:30:03,12.6000,83,3265703.0000,2588,S,12.5900,12.5800,12.5700,12.5600,12.5500,12.6000,12.6100,12.6200,12.6300,12.6400,363,1366,71,446,605,2,45,280,1373,1115
SZ,000001,2019-06-12 09:30:06,12.6100,55,1297571.0000,1028,B,12.5900,12.5800,12.5700,12.5600,12.5500,12.6100,12.6300,12.6400,12.6500,12.6600,843,1889,99,496,614,12,1540,1104,1299,917
SZ,000001,2019-06-12 09:30:09,12.6300,19,210866.0000,167,B,12.6100,12.5900,12.5800,12.5700,12.5600,12.6300,12.6400,12.6500,12.6600,12.6700,12,1067,1892,99,496,1538,1114,1299,923,820
SZ,000001,2019-06-12 09:30:12,12.6200,15,190528.0000,151,S,12.6100,12.6000,12.5900,12.5800,12.5700,12.6200,12.6300,12.6400,12.6500,12.6600,144,58,1336,1905,76,120,1581,1113,1337,1201
SZ,000001,2019-06-12 09:30:15,12.6100,20,233419.0000,185,S,12.6100,12.6000,12.5900,12.5800,12.5700,12.6200,12.6300,12.6400,12.6500,12.6600,331,20,1270,1402,76,45,1587,1111,1317,1201
SZ,000001,2019-06-12 09:30:18,12.6300,32,346007.0000,274,B,12.6200,12.6100,12.6000,12.5900,12.5800,12.6300,12.6400,12.6500,12.6600,12.6700,48,787,20,924,1402,1360,1090,1317,1201,644
SZ,000001,2019-06-12 09:30:21,12.6300,13,253569.0000,201,B,12.6200,12.6100,12.6000,12.5900,12.5800,12.6300,12.6400,12.6500,12.6600,12.6700,2362,677,20,704,1402,1340,1090,1307,1201,644
SZ,000001,2019-06-12 09:30:24,12.6200,40,868751.0000,688,S,12.6200,12.6100,12.6000,12.5900,12.5800,12.6300,12.6400,12.6500,12.6600,12.6700,2885,499,20,704,1402,908,1040,1308,1201,644
SZ,000001,2019-06-12 09:30:27,12.6300,49,1430531.0000,1133,B,12.6300,12.6200,12.6100,12.6000,12.5900,12.6400,12.6500,12.6600,12.6700,12.6800,57,2962,496,70,704,1000,1308,1201,644,882
