市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-18 09:25:03,12.6700,119,1706649.0000,1347,B,12.6600,12.6500,12.6400,12.6300,12.6200,12.6700,12.6800,12.6900,12.7000,12.7200,6,100,81,50,218,369,11,7,43,95
SZ,000001,2019-06-18 09:30:00,12.6600,1,1266.0000,1,S,12.6600,12.6500,12.6400,12.6300,12.6200,12.6700,12.6800,12.6900,12.7000,12.7200,5,100,81,50,218,369,11,7,43,95
SZ,000001,2019-06-18 09:30:03,12.6700,133,4014099.0000,3161,B,12.6700,12.6600,12.6500,12.6400,12.6300,12.6800,12.7000,12.7200,12.7400,12.7500,118,1058,1093,107,333,10,4,25,1017,274
SZ,000001,2019-06-18 09:30:06,12.6900,39,287643.0000,227,B,12.6700,12.6600,12.6500,12.6400,12.6300,12.7000,12.7200,12.7300,12.7400,12.7500,1,183,1193,107,852,16,25,10,1017,274
SZ,000001,2019-06-18 09:30:09,12.7000,14,69732.0000,55,B,12.7000,12.6700,12.6600,12.6500,12.6400,12.7100,12.7200,12.7300,12.7400,12.7500,2,48,179,1213,107,20,37,10,1017,274
SZ,000001,2019-06-18 09:30:12,12.7100,6,44431.0000,35,B,12.7000,12.6700,12.6600,12.6500,12.6400,12.7100,12.7200,12.7300,12.7400,12.7500,8,1109,337,1213,107,8,37,10,1017,274
SZ,000001,2019-06-18 09:30:15,12.7200,9,61032.0000,48,B,12.7100,12.7000,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,16,3,1119,279,1213,5,10,1017,274,721
SZ,000001,2019-06-18 09:30:18,12.7100,4,30527.0000,24,S,12.7100,12.7000,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,16,13,1075,279,1213,126,10,1017,274,721
SZ,000001,2019-06-18 09:30:21,12.7200,3,24165.0000,19,B,12.7100,12.7000,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,36,13,1075,320,1213,143,96,1017,274,721
SZ,000001,2019-06-18 09:30:24,12.7200,2,6360.0000,5,B,12.7100,12.7000,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,1206,13,32,217,1213,153,96,1017,267,721
SZ,000001,2019-06-18 09:30:27,12.7200,5,54676.0000,43,B,12.7100,12.7000,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,1214,13,33,217,1213,130,131,1017,267,721
SZ,000001,2019-06-18 09:30:30,12.7200,20,296203.0000,233,B,12.7000,12.6800,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,135,1027,33,217,1213,193,131,1017,267,721
SZ,000001,2019-06-18 09:30:33,12.7000,10,242578.0000,191,S,12.6800,12.6700,12.6600,12.6500,12.6400,12.7000,12.7200,12.7300,12.7400,12.7500,1027,32,217,1213,87,454,246,170,1117,267
SZ,000001,2019-06-18 09:30:36,12.7000,6,397260.0000,313,B,12.6800,12.6700,12.6600,12.6500,12.6400,12.7000,12.7100,12.7200,12.7300,12.7400,913,32,217,1213,87,342,38,240,390,1117
SZ,000001,2019-06-18 09:30:39,12.7200,12,649270.0000,511,B,12.7000,12.6800,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,95,904,32,215,1213,57,390,1117,267,712
SZ,000001,2019-06-18 09:30:42,12.7200,3,19074.0000,15,B,12.7000,12.6800,12.6700,12.6600,12.6500,12.7200,12.7300,12.7400,12.7500,12.7600,130,904,32,215,1213,59,410,1117,265,712
SZ,000001,2019-06-18 09:30:45,12.7100,3,3813.0000,3,S,12.7100,12.7000,12.6800,12.6700,12.6600,12.7200,12.7300,12.7400,12.7500,12.7600,8,142,904,32,460,117,510,1117,265,712
SZ,000001,2019-06-18 09:30:48,12.7100,7,19065.0000,15,S,12.7100,12.7000,12.6900,12.6800,12.6700,12.7200,12.7300,12.7400,12.7500,12.7600,2,227,10,2,32,202,510,1117,265,712
SZ,000001,2019-06-18 09:30:51,12.7100,7,25420.0000,20,S,12.7000,12.6900,12.6800,12.6700,12.6600,12.7100,12.7200,12.7300,12.7400,12.7500,243,10,2,32,460,70,1234,510,1117,265
SZ,000001,2019-06-18 09:30:54,12.7100,6,57157.0000,45,B,12.7000,12.6900,12.6800,12.6700,12.6600,12.7100,12.7200,12.7300,12.7400,12.7500,120,10,2,32,480,72,1235,514,1117,263
SZ,000001,2019-06-18 09:30:57,12.7100,18,167653.0000,132,B,12.7000,12.6900,12.6800,12.6700,12.6600,12.7100,12.7200,12.7300,12.7400,12.7500,1,10,2,1059,480,139,1235,514,1117,309
SZ,000001,2019-06-18 09:31:00,12.7000,7,27954.0000,22,S,12.7000,12.6900,12.6800,12.6700,12.6600,12.7100,12.7200,12.7300,12.7400,12.7500,1,8,2,1059,480,179,1233,524,1117,311
SZ,000001,2019-06-18 09:31:03,12.7000,16,78691.0000,62,S,12.6800,12.6700,12.6600,12.6500,12.6400,12.7000,12.7100,12.7200,12.7300,12.7400,2,1064,480,1258,98,19,213,1244,526,1117
SZ,000001,2019-06-18 09:31:06,12.7000,28,303683.0000,239,B,12.6800,12.6700,12.6600,12.6500,12.6400,12.7000,12.7100,12.7200,12.7300,12.7400,1026,37,439,1258,98,45,42,1244,526,1137
SZ,000001,2019-06-18 09:31:09,12.6900,4,11425.0000,9,S,12.6900,12.6800,12.6700,12.6600,12.6500,12.7000,12.7100,12.7200,12.7300,12.7400,85,1026,37,439,1258,42,134,844,522,1137
SZ,000001,2019-06-18 09:31:12,12.6900,10,115567.0000,91,S,12.6900,12.6800,12.6700,12.6600,12.6500,12.7000,12.7100,12.7200,12.7300,12.7400,110,1026,37,439,1258,562,434,844,522,1137
SZ,000001,2019-06-18 09:31:15,12.7000,1,2540.0000,2,B,12.6900,12.6800,12.6700,12.6600,12.6500,12.7000,12.7100,12.7200,12.7300,12.7400,121,1026,27,439,1258,560,519,844,522,1137
SZ,000001,2019-06-18 09:31:18,12.7000,5,49501.0000,39,B,12.6900,12.6800,12.6700,12.6600,12.6500,12.7000,12.7100,12.7200,12.7300,12.7400,94,1026,27,439,1258,550,518,812,522,1137
