市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-03 09:25:03,12.2200,161,8398806.0000,6873,B,12.2100,12.2000,12.1900,12.1800,12.1700,12.2200,12.2300,12.2400,12.2500,12.2600,381,1508,1810,709,40,82,134,220,49,459
SZ,000001,2019-06-03 09:30:03,12.2300,138,4045181.0000,3306,B,12.2300,12.2200,12.2100,12.2000,12.1900,12.2400,12.2600,12.2700,12.2800,12.2900,26,1662,826,1535,1804,237,163,165,843,834
SZ,000001,2019-06-03 09:30:06,12.2400,48,1055053.0000,862,B,12.2400,12.2300,12.2200,12.2100,12.2000,12.2500,12.2600,12.2700,12.2800,12.2900,283,194,3350,877,1391,57,113,196,863,878
SZ,000001,2019-06-03 09:30:09,12.2400,12,204515.0000,167,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,24,259,221,4113,909,113,196,863,906,1722
SZ,000001,2019-06-03 09:30:12,12.2600,11,116377.0000,95,B,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,670,239,232,4195,913,173,206,863,908,1722
SZ,000001,2019-06-03 09:30:15,12.2600,16,253084.0000,207,B,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,2,714,127,110,4211,206,866,958,1722,156
SZ,000001,2019-06-03 09:30:18,12.2600,14,44136.0000,36,S,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,54,718,107,110,4211,233,866,968,1722,156
SZ,000001,2019-06-03 09:30:21,12.2600,16,297976.0000,243,S,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,10,635,151,110,4207,213,866,968,1727,156
SZ,000001,2019-06-03 09:30:24,12.2700,14,196220.0000,160,B,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,11,618,107,110,4184,205,881,953,1727,156
SZ,000001,2019-06-03 09:30:27,12.2600,19,598345.0000,488,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,597,107,108,4184,862,125,306,881,953,1727
SZ,000001,2019-06-03 09:30:30,12.2500,10,759513.0000,620,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,63,107,108,4141,858,403,570,956,976,1832
SZ,000001,2019-06-03 09:30:33,12.2500,20,690322.0000,563,S,12.2300,12.2200,12.2100,12.2000,12.1900,12.2500,12.2600,12.2700,12.2800,12.2900,240,4135,857,1262,1785,41,147,453,956,986
SZ,000001,2019-06-03 09:30:36,12.2500,12,139592.0000,114,B,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,25,144,336,3743,847,113,423,956,986,1850
SZ,000001,2019-06-03 09:30:39,12.2600,13,225454.0000,184,B,12.2400,12.2300,12.2200,12.2100,12.2000,12.2600,12.2700,12.2800,12.2900,12.3000,155,298,3708,847,1255,89,430,956,986,1850
SZ,000001,2019-06-03 09:30:42,12.2600,10,147120.0000,120,B,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,169,145,174,3708,847,88,630,976,1001,1840
SZ,000001,2019-06-03 09:30:45,12.2600,11,188804.0000,154,B,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,30,139,17,174,3708,640,976,1033,1840,156
SZ,000001,2019-06-03 09:30:48,12.2600,8,58848.0000,48,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,8,17,174,3718,847,219,672,976,1033,1845
SZ,000001,2019-06-03 09:30:51,12.2500,21,378920.0000,309,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,41,17,174,3718,847,30,584,981,1033,1855
SZ,000001,2019-06-03 09:30:54,12.2500,5,90720.0000,74,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,387,17,176,3720,847,167,630,1086,1033,1885
SZ,000001,2019-06-03 09:30:57,12.2600,17,535958.0000,437,B,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,3,397,11,196,3720,489,1094,1133,1885,156
SZ,000001,2019-06-03 09:31:00,12.2500,67,4418330.0000,3599,S,12.2700,12.2500,12.2400,12.2300,12.2200,12.2800,12.2900,12.3000,12.3100,12.3200,17,571,11,196,3720,193,1133,1885,156,475
SZ,000001,2019-06-03 09:31:03,12.2500,27,1044492.0000,851,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2800,12.2900,12.3000,12.3100,12.3200,368,11,200,3720,827,36,864,1885,183,475
SZ,000001,2019-06-03 09:31:06,12.2600,7,425426.0000,347,B,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,65,599,11,205,3720,55,135,852,1885,183
SZ,000001,2019-06-03 09:31:09,12.2600,20,372892.0000,304,S,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,259,750,11,205,3720,154,170,876,2085,183
SZ,000001,2019-06-03 09:31:12,12.2700,76,2442576.0000,1989,B,12.2700,12.2500,12.2400,12.2300,12.2200,12.3000,12.3100,12.3200,12.3300,12.3400,130,792,11,205,3725,1905,183,375,421,274
SZ,000001,2019-06-03 09:31:15,12.2700,16,774328.0000,631,S,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,84,188,803,16,205,94,25,1942,183,433
SZ,000001,2019-06-03 09:31:18,12.2800,46,1439500.0000,1172,B,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.3000,12.3100,12.3200,12.3300,10,67,803,16,205,33,1602,183,422,530
SZ,000001,2019-06-03 09:31:21,12.2700,14,566816.0000,462,S,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,38,288,793,16,225,244,100,1624,183,422
SZ,000001,2019-06-03 09:31:24,12.2600,29,751508.0000,612,S,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,64,798,16,225,3699,28,1,30,1722,183
SZ,000001,2019-06-03 09:31:27,12.2900,10,299630.0000,244,B,12.2800,12.2700,12.2600,12.2500,12.2400,12.2900,12.3000,12.3100,12.3200,12.3300,1541,307,202,808,16,137,1722,183,446,533
SZ,000001,2019-06-03 09:31:30,12.2800,8,742942.0000,605,S,12.2800,12.2700,12.2600,12.2500,12.2400,12.2900,12.3000,12.3100,12.3200,12.3300,1251,281,127,1804,16,561,1778,183,446,533
SZ,000001,2019-06-03 09:31:33,12.2900,12,345240.0000,281,B,12.2800,12.2700,12.2600,12.2500,12.2400,12.2900,12.3000,12.3100,12.3200,12.3300,1157,285,127,1904,26,533,1798,183,446,533
SZ,000001,2019-06-03 09:31:36,12.2800,30,1734460.0000,1411,S,12.2800,12.2700,12.2600,12.2500,12.2400,12.2900,12.3000,12.3100,12.3200,12.3300,893,378,60,1909,26,149,1188,183,506,557
SZ,000001,2019-06-03 09:31:39,12.3000,29,1109840.0000,903,B,12.2800,12.2700,12.2600,12.2500,12.2400,12.3000,12.3100,12.3200,12.3300,12.3400,867,378,60,1909,27,1110,283,506,557,289
SZ,000001,2019-06-03 09:31:42,12.2800,11,469640.0000,382,S,12.2800,12.2700,12.2600,12.2500,12.2400,12.2900,12.3000,12.3100,12.3200,12.3300,819,363,60,1809,47,5,1021,283,506,567
SZ,000001,2019-06-03 09:31:45,12.2800,48,1698024.0000,1382,B,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,363,60,1798,47,335,212,213,561,283,606
SZ,000001,2019-06-03 09:31:48,12.2800,28,1033444.0000,841,B,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,364,3,1798,47,435,18,215,386,333,606
SZ,000001,2019-06-03 09:31:51,12.2800,33,1089944.0000,887,B,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,135,3,1798,47,435,154,204,116,333,656
SZ,000001,2019-06-03 09:31:54,12.2800,22,305744.0000,249,B,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,153,13,1833,47,455,527,445,198,333,656
SZ,000001,2019-06-03 09:31:57,12.2700,16,195188.0000,159,S,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,93,13,1843,47,455,516,445,186,345,656
SZ,000001,2019-06-03 09:32:00,12.2800,51,928240.0000,756,B,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,23,1846,47,455,2957,5,221,435,196,345
SZ,000001,2019-06-03 09:32:03,12.2700,13,104300.0000,85,B,12.2700,12.2600,12.2500,12.2400,12.2300,12.2800,12.2900,12.3000,12.3100,12.3200,85,38,1846,47,455,286,435,233,369,657
SZ,000001,2019-06-03 09:32:06,12.2700,17,157168.0000,128,S,12.2600,12.2500,12.2400,12.2300,12.2200,12.2700,12.2800,12.2900,12.3000,12.3100,339,1896,47,454,2957,17,298,445,263,389
SZ,000001,2019-06-03 09:32:09,12.2600,30,364528.0000,297,S,12.2600,12.2500,12.2400,12.2300,12.2200,12.2800,12.2900,12.3000,12.3100,12.3200,275,1896,47,464,3157,516,444,313,389,657
SZ,000001,2019-06-03 09:32:12,12.2700,26,653592.0000,533,B,12.2500,12.2400,12.2300,12.2200,12.2100,12.2700,12.2800,12.2900,12.3000,12.3100,2020,47,464,3157,532,581,412,519,377,389
SZ,000001,2019-06-03 09:32:15,12.2600,15,221944.0000,181,S,12.2500,12.2400,12.2300,12.2200,12.2100,12.2600,12.2700,12.2800,12.2900,12.3000,1880,47,464,3148,552,19,729,412,535,585
SZ,000001,2019-06-03 09:32:18,12.2700,7,129988.0000,106,B,12.2500,12.2400,12.2300,12.2200,12.2100,12.2700,12.2800,12.2900,12.3000,12.3100,1884,47,528,3147,532,879,449,537,590,402
SZ,000001,2019-06-03 09:32:21,12.2500,29,2349580.0000,1918,S,12.2400,12.2300,12.2200,12.2100,12.2000,12.2500,12.2600,12.2700,12.2800,12.2900,47,527,3147,532,1286,308,95,881,564,537
SZ,000001,2019-06-03 09:32:24,12.2500,9,561052.0000,458,B,12.2400,12.2300,12.2200,12.2100,12.2000,12.2500,12.2600,12.2700,12.2800,12.2900,45,557,3135,532,1286,143,125,875,564,537
SZ,000001,2019-06-03 09:32:27,12.2500,16,428396.0000,350,B,12.2300,12.2200,12.2100,12.2000,12.1900,12.2500,12.2600,12.2700,12.2800,12.2900,402,3122,532,1286,1700,34,127,873,584,562
SZ,000001,2019-06-03 09:32:30,12.2500,11,241312.0000,197,B,12.2300,12.2200,12.2100,12.2000,12.1900,12.2500,12.2600,12.2700,12.2800,12.2900,435,3122,560,1346,1700,38,137,1325,584,562
SZ,000001,2019-06-03 09:32:33,12.2300,8,52592.0000,43,S,12.2300,12.2200,12.2100,12.2000,12.1900,12.2400,12.2500,12.2600,12.2700,12.2800,522,3163,560,1346,1700,18,566,737,1325,604
SZ,000001,2019-06-03 09:32:36,12.2400,12,227692.0000,186,B,12.2300,12.2200,12.2100,12.2000,12.1900,12.2400,12.2500,12.2600,12.2700,12.2800,253,3163,557,1376,1694,483,660,741,1325,626
SZ,000001,2019-06-03 09:32:39,12.2300,6,168772.0000,138,S,12.2300,12.2200,12.2100,12.2000,12.1900,12.2400,12.2500,12.2600,12.2700,12.2800,514,3163,557,1376,1694,512,668,827,1325,626
