市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,000001,2019-06-06 09:25:03,11.9700,138,4985505.0000,4165,B,11.9600,11.9500,11.9400,11.9300,11.9200,11.9700,11.9800,11.9900,12.0000,12.0100,12,88,415,287,221,221,39,372,8,18
SZ,000001,2019-06-06 09:30:03,11.9700,36,544178.0000,455,B,11.9700,11.9600,11.9500,11.9400,11.9300,11.9800,11.9900,12.0000,12.0100,12.0200,896,358,400,497,403,19,370,453,28,2
SZ,000001,2019-06-06 09:30:06,11.9500,80,2256698.0000,1886,S,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9800,11.9900,518,413,633,786,1198,3271,31,34,98,348
SZ,000001,2019-06-06 09:30:09,11.9400,21,2203484.0000,1844,S,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9800,11.9900,427,413,635,786,1198,1635,35,9,10,348
SZ,000001,2019-06-06 09:30:12,11.9400,9,131375.0000,110,S,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9800,11.9900,352,413,635,786,1198,1601,44,9,10,348
SZ,000001,2019-06-06 09:30:15,11.9400,5,273431.0000,229,S,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9800,11.9900,128,413,635,786,1198,1596,44,828,10,348
SZ,000001,2019-06-06 09:30:18,11.9400,7,187613.0000,157,S,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9800,11.9900,144,413,635,786,1198,1494,44,9,1,348
SZ,000001,2019-06-06 09:30:21,11.9400,14,236415.0000,198,S,11.9300,11.9200,11.9100,11.9000,11.8900,11.9400,11.9500,11.9600,11.9700,11.9900,413,548,786,1198,140,228,1491,44,9,348
SZ,000001,2019-06-06 09:30:24,11.9400,3,28656.0000,24,B,11.9300,11.9200,11.9100,11.9000,11.8900,11.9400,11.9500,11.9600,11.9700,11.9900,470,548,846,1218,140,221,1491,44,9,348
SZ,000001,2019-06-06 09:30:27,11.9400,4,187457.0000,157,B,11.9300,11.9200,11.9100,11.9000,11.8900,11.9400,11.9500,11.9600,11.9700,11.9900,488,548,849,1218,140,66,1491,44,9,348
SZ,000001,2019-06-06 09:30:30,11.9400,15,225602.0000,189,B,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9900,12.0000,41,507,548,849,1248,1439,44,9,348,453
SZ,000001,2019-06-06 09:30:33,11.9400,13,236423.0000,198,S,11.9300,11.9200,11.9100,11.9000,11.8900,11.9400,11.9500,11.9600,11.9700,11.9900,492,476,849,1248,140,109,1428,44,9,348
SZ,000001,2019-06-06 09:30:36,11.9400,13,303256.0000,254,B,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9900,12.0000,148,502,558,851,1248,1408,37,9,348,495
SZ,000001,2019-06-06 09:30:39,11.9500,10,572257.0000,479,B,11.9400,11.9300,11.9200,11.9100,11.9000,11.9500,11.9600,11.9700,11.9900,12.0000,61,473,558,851,1248,1078,37,9,348,495
